date,price,volume
20191008,8232.086019738,163613988.776859
20191007,8079.8864853073,304933526.817058
20191006,8012.418309571,233529268.074753
20191005,8142.31186386,131224097.573641
20191004,8181.0915574777,198049692.053676
20191003,8277.5419744485,239101472.311329
20191002,8292.9742439129,194202217.980242
20191001,8398.397031843,342615113.16063
20190930,8110.0615665969,398411313.032629
20190929,8108.050067855,216070576.725548
20190928,8193.7461481757,235200542.423162
20190927,8073.0569517919,371903298.96026
20190926,8278.9035696112,651858627.739607
20190925,8492.1801138741,594943791.378039
20190924,9447.8291711505,1166184903.53975
20190923,9904.92012546,305848498.110613
20190922,10007.0174831281,159153381.591799
20190921,10063.3892956814,169413257.139675
20190920,10199.0782573406,195059883.97677
20190919,10018.8508886382,448040132.216858
20190918,10211.691527072,196405170.410739
20190917,10235.7088198825,196648117.537276
20190916,10269.7380208059,260690746.815885
20190915,10332.2102073794,104774675.505268
20190914,10357.3702396999,152086402.791923
20190913,10334.408647455,230576775.664199
20190912,10246.3789561698,256543296.447837
20190911,10088.9722991188,268192709.611452
20190910,10241.8185457025,253724963.276199
20190909,10322.1070540999,307836759.013492
20190908,10475.4958003875,171896762.617148
20190907,10441.1498674067,168744513.249555
20190906,10660.1913176215,562930120.677279
20190905,10577.2364439772,229031912.142506
20190904,10574.2551631237,413191485.95688
20190903,10523.9383038348,528002621.62923
20190902,9970.2300609963,400773980.080978
20190901,9657.3842806183,131070729.046077
20190831,9628.3725128529,124542542.469508
20190830,9576.0539763107,249076849.225565
20190829,9558.6876099929,380533959.943912
20190828,10070.5555412075,501387264.528539
20190827,10193.9817415178,242967291.632695
20190826,10359.2859165414,448848700.008945
20190825,10126.1463800056,246311158.004188
20190824,10175.1497923506,269078462.196609
20190823,10292.4973808342,292863291.079761
20190822,10078.3690063703,335155550.245207
20190821,10210.1976201436,539530100.528306
20190820,10765.9804126482,294476115.083949
20190819,10632.4977168336,393726512.106936
20190818,10317.854524517,205286147.437154
20190817,10319.1711859607,232537743.22807
20190816,10257.377946276,585847571.275623
20190815,10046.3807892918,801023655.517971
20190814,10450.3943726865,718295670.254629
20190813,11148.2989496119,451368718.381339
20190812,11402.1738293258,204766104.490774
20190811,11387.6877015737,265193339.70284
20190810,11584.5860761071,468221521.488497
20190809,11825.1364361757,429469468.489572
20190808,11804.2633633274,546278564.720077
20190807,11708.7599523122,800430252.58154
20190806,11741.5073498943,929794119.422352
20190805,11671.3835495249,838806731.922145
20190804,10815.0020462209,409876293.820361
20190803,10784.0650668589,348986684.244217
20190802,10476.184656832,436264591.283053
20190801,10093.2032675813,411721892.793995
20190731,9870.4316204944,391928739.940329
20190730,9559.696726808,275585721.423046
20190729,9559.4650235497,283877318.12703
20190728,9515.5715321116,279188395.891993
20190727,9742.4160076711,517478498.849167
20190726,9792.7897051007,295258851.144692
20190725,10038.2646894,389584741.907232
20190724,9727.7067697231,514057750.7119
20190723,10087.8645387447,501131360.731313
20190722,10454.8518176934,505509266.267097
20190721,10576.0743531166,382640865.733967
20190720,10684.6270029129,581463954.30565
20190719,10474.854538647,629837346.166723
20190718,10070.9924310204,1030755100.90824
20190717,9593.7900582583,925126125.485183
20190716,10367.8996385324,1161272059.54578
20190715,10441.8487452587,924849224.019748
20190714,10854.9260550731,800870828.892056
20190713,11426.7414403943,636913707.797848
20190712,11590.4517232892,601560220.204457
20190711,11586.4456472707,1169910217.36112
20190710,12615.3742325894,1525919276.75514
20190709,12481.6181430412,976385251.440616
20190708,11787.4647587803,757391897.47019
20190707,11317.3154879744,394574768.920019
20190706,11419.5259923337,524027882.166153
20190705,11142.8746657194,699617057.707372
20190704,11752.4759355654,792369305.60198
20190703,11333.501313201,1264276929.93431
20190702,10314.9213836782,1211348671.15524
20190701,10695.6278842068,1187960720.84531
20190630,11539.6838377705,899874105.969129
20190629,11861.2366662831,948729894.93315
20190628,11701.0281075679,1346439315.45569
20190627,11777.0627551788,2340230154.12824
20190626,12594.3337988599,2789116948.29668
20190625,11292.7482197125,899495296.14118
20190624,10833.8949358659,555872484.238275
20190623,10724.637953765,613132258.911244
20190622,10685.3770550315,1218774533.67181
20190621,9788.2257911344,755871801.792801
20190620,9345.3918741357,412392061.472166
20190619,9142.9723368681,282723004.007112
20190618,9136.8162070604,490930484.73267
20190617,9211.9259340608,601917638.373762
20190616,9066.27754602,736818979.097957
20190615,8720.35645949,316084897.916001
20190614,8352.1971646716,411618729.351847
20190613,8168.606899337,314502486.190619
20190612,8041.3436191652,390787144.573589
20190611,7901.2775907055,274615996.020279
20190610,7828.9593708653,325732946.739265
20190609,7808.3815738512,228918459.964279
20190608,7946.377155674,198081536.426992
20190607,7943.9749799892,403233049.853364
20190606,7760.6915619835,342392382.734653
20190605,7788.8511732534,384980675.342486
20190604,7863.4032704239,804274084.466588
20190603,8525.2601273618,539932167.762257
20190602,8667.3212071469,233700325.172092
20190601,8546.2684009821,235780567.745473
20190531,8361.7250560223,454442574.90767
20190530,8626.5081532899,788750174.070745
20190529,8634.5098086206,381775831.855755
20190528,8690.0962685712,382340669.046896
20190527,8731.8951441315,537189443.311331
20190526,8103.775897777,557091585.62933
20190525,8023.7460983525,181775744.468579
20190524,7976.9868694345,400933713.006796
20190523,7710.3363864537,367385859.697803
20190522,7878.851555395,419842020.422671
20190521,7935.2335152394,344196411.508082
20190520,7886.3959338148,603119691.322192
20190519,7926.1465512462,688306659.176259
20190518,7336.8692685912,283085389.262022
20190517,7270.735166336,1023373254.95586
20190516,7970.2226937143,732521464.546649
20190515,8031.5839621984,652997526.156221
20190514,7975.8454421569,945345188.246742
20190513,7392.6731783027,1116792682.1193
20190512,7131.7452129652,997846863.950815
20190511,6808.7099696763,891901037.632795
20190510,6317.8242562038,412465043.326609
20190509,6081.9928845504,298188675.17123
20190508,5883.9735302706,231654652.227948
20190507,5901.1878427767,337910561.181737
20190506,5706.3884072157,191804130.002136
20190505,5765.7269157212,141619666.526086
20190504,5730.8892065147,256812410.247743
20190503,5661.4126258811,415801709.253201
20190502,5409.3796228024,184331829.434501
20190501,5351.5359014153,137227551.833711
20190430,5258.7428670197,158599879.416629
20190429,5222.429537738,156207630.972563
20190428,5238.6568792442,120586155.133049
20190427,5223.9124981413,103104366.504092
20190426,5216.9017486745,376557091.081086
20190425,5439.0037252647,367506118.978637
20190424,5498.4329827734,319406260.117716
20190423,5542.4214774024,349851790.467936
20190422,5331.5285192769,229863608.654056
20190421,5300.6712297134,125292892.124488
20190420,5323.6401595801,114815810.43774
20190419,5271.7990649307,144961322.544273
