ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
IXIC,20211025,15142.92,15226.71,15259.63,15070.75,15090.2,136.51,0.9,1.25,1091605.0
IXIC,20211022,15158.07,15090.2,15193.01,15021.02,15215.7,-125.5,-0.82,1.13,1104237.0
IXIC,20211021,15104.8,15215.7,15222.25,15094.14,15121.68,94.02,0.62,0.85,891241.25
IXIC,20211020,15160.0,15121.68,15178.39,15071.15,15129.09,-7.41,-0.05,0.71,743426.69
IXIC,20211019,15073.13,15129.09,15137.85,15049.73,15021.81,107.28,0.71,0.59,788582.19
IXIC,20211018,14839.74,15021.81,15026.68,14833.28,14897.34,124.47,0.84,1.3,798365.0
IXIC,20211015,14891.24,14897.34,14904.98,14847.96,14823.43,73.91,0.5,0.38,924170.32
IXIC,20211014,14717.5,14823.43,14827.56,14699.52,14571.64,251.79,1.73,0.88,815456.57
IXIC,20211013,14537.17,14571.64,14589.28,14471.87,14465.92,105.72,0.73,0.81,760210.69
IXIC,20211012,14539.09,14465.92,14552.71,14441.6,14486.2,-20.28,-0.14,0.77,768398.44
IXIC,20211011,14540.08,14486.2,14665.99,14482.61,14579.54,-93.34,-0.64,1.26,664488.82
IXIC,20211008,14694.72,14579.54,14699.91,14569.68,14654.02,-74.48,-0.51,0.89,670937.38
IXIC,20211007,14631.8,14654.02,14755.72,14615.14,14501.91,152.11,1.05,0.97,798155.69
IXIC,20211006,14289.45,14501.91,14509.55,14259.07,14433.83,68.08,0.47,1.74,817526.82
IXIC,20211005,14312.86,14433.83,14508.65,14299.78,14255.48,178.35,1.25,1.47,805231.82
IXIC,20211004,14493.13,14255.48,14499.74,14181.69,14566.7,-311.22,-2.14,2.18,920426.0
IXIC,20211001,14494.93,14566.7,14606.82,14324.01,14448.58,118.12,0.82,1.96,913084.07
IXIC,20210930,14582.6,14448.58,14632.36,14444.3,14512.44,-63.86,-0.44,1.3,1136439.0
IXIC,20210929,14614.88,14512.44,14676.62,14493.67,14546.68,-34.24,-0.24,1.26,980968.63
IXIC,20210928,14787.21,14546.68,14817.74,14539.88,14969.97,-423.29,-2.83,1.86,996260.32
IXIC,20210927,14954.18,14969.97,15003.16,14864.96,15047.7,-77.73,-0.52,0.92,894614.82
IXIC,20210924,14961.61,15047.7,15067.56,14946.57,15052.24,-4.54,-0.03,0.8,773435.57
IXIC,20210923,14960.0,15052.24,15085.44,14932.51,14896.85,155.39,1.04,1.03,788228.07
IXIC,20210922,14800.59,14896.85,14950.12,14767.01,14746.4,150.45,1.02,1.24,831124.94
IXIC,20210921,14803.36,14746.4,14847.03,14696.47,14713.9,32.5,0.22,1.02,873640.75
IXIC,20210920,14758.14,14713.9,14841.82,14530.07,15043.97,-330.07,-2.19,2.07,1096026.0
IXIC,20210917,15163.36,15043.97,15166.56,14998.73,15181.92,-137.95,-0.91,1.11,2749747.0
IXIC,20210916,15120.09,15181.92,15205.5,15047.14,15161.53,20.39,0.13,1.04,833065.69
IXIC,20210915,15071.34,15161.53,15174.38,14984.68,15037.76,123.77,0.82,1.26,987746.82
IXIC,20210914,15168.45,15037.76,15181.19,15008.3,15105.58,-67.82,-0.45,1.14,884509.63
IXIC,20210913,15211.43,15105.58,15215.44,15030.85,15115.49,-9.91,-0.07,1.22,943774.07
IXIC,20210910,15332.92,15115.49,15349.47,15111.31,15248.25,-132.76,-0.87,1.56,889076.44
IXIC,20210909,15296.06,15248.25,15352.38,15245.17,15286.64,-38.39,-0.25,0.7,793921.88
IXIC,20210908,15360.35,15286.64,15360.35,15206.61,15374.33,-87.69,-0.57,1.0,799129.75
IXIC,20210907,15375.98,15374.33,15403.44,15343.28,15363.52,10.81,0.07,0.39,813759.5
IXIC,20210903,15313.42,15363.52,15375.56,15283.67,15331.18,32.34,0.21,0.6,713302.63
IXIC,20210902,15358.47,15331.18,15380.07,15285.35,15309.38,21.8,0.14,0.62,771822.44
IXIC,20210901,15308.98,15309.38,15379.5,15302.11,15259.24,50.14,0.33,0.51,836301.88
IXIC,20210831,15262.88,15259.24,15278.96,15202.67,15265.89,-6.65,-0.04,0.5,981940.82
IXIC,20210830,15165.95,15265.89,15288.08,15165.12,15129.5,136.39,0.9,0.81,807575.07
IXIC,20210827,14969.77,15129.5,15144.48,14966.52,14945.81,183.69,1.23,1.19,857196.94
IXIC,20210826,15025.17,14945.81,15059.63,14939.56,15041.86,-96.05,-0.64,0.8,698672.69
IXIC,20210825,15039.03,15041.86,15059.43,15011.58,15019.8,22.06,0.15,0.32,760113.94
IXIC,20210824,14978.14,15019.8,15034.89,14965.54,14942.65,77.15,0.52,0.46,737234.25
IXIC,20210823,14776.98,14942.65,14963.47,14776.98,14714.66,227.99,1.55,1.27,782665.0
IXIC,20210820,14571.53,14714.66,14722.16,14571.53,14541.79,172.87,1.19,1.04,828727.82
IXIC,20210819,14423.16,14541.79,14610.76,14423.16,14525.91,15.88,0.11,1.29,841842.82
IXIC,20210818,14636.24,14525.91,14697.25,14516.3,14656.18,-130.27,-0.89,1.23,764919.19
IXIC,20210817,14670.56,14656.18,14716.95,14550.88,14793.76,-137.58,-0.93,1.12,797610.5
IXIC,20210816,14771.53,14793.76,14794.68,14610.02,14822.9,-29.14,-0.2,1.25,774042.94
IXIC,20210813,14825.07,14822.9,14850.61,14797.22,14816.26,6.64,0.04,0.36,774675.25
IXIC,20210812,14751.36,14816.26,14824.31,14698.94,14765.14,51.12,0.35,0.85,783876.38
IXIC,20210811,14834.38,14765.14,14842.5,14692.41,14788.09,-22.95,-0.16,1.01,787414.07
IXIC,20210810,14887.75,14788.09,14894.61,14754.48,14860.18,-72.09,-0.49,0.94,781073.82
IXIC,20210809,14855.75,14860.18,14883.81,14802.69,14835.76,24.42,0.16,0.55,801118.63
IXIC,20210806,14864.22,14835.76,14890.18,14788.59,14895.12,-59.36,-0.4,0.68,817603.07
IXIC,20210805,14794.09,14895.12,14896.47,14776.03,14780.53,114.59,0.78,0.81,842718.19
IXIC,20210804,14747.21,14780.53,14812.37,14734.12,14761.29,19.24,0.13,0.53,875560.5
IXIC,20210803,14714.0,14761.29,14762.6,14584.09,14681.07,80.22,0.55,1.22,831948.69
IXIC,20210802,14758.61,14681.07,14770.41,14665.67,14672.68,8.39,0.06,0.71,752758.32
IXIC,20210730,14615.85,14672.68,14728.78,14615.85,14778.26,-105.58,-0.71,0.76,788205.69
IXIC,20210729,14771.17,14778.26,14833.74,14761.38,14762.58,15.68,0.11,0.49,760012.0
IXIC,20210728,14715.67,14762.58,14798.88,14645.63,14660.58,102.0,0.7,1.05,839138.25
IXIC,20210727,14807.95,14660.58,14811.08,14503.76,14840.71,-180.13,-1.21,2.07,885235.19
IXIC,20210726,14821.03,14840.71,14863.65,14790.49,14836.99,3.72,0.03,0.49,850808.94
IXIC,20210723,14753.06,14836.99,14846.06,14698.77,14684.6,152.39,1.04,1.0,758411.32
IXIC,20210722,14652.72,14684.6,14694.19,14617.87,14631.95,52.65,0.36,0.52,712056.63
IXIC,20210721,14508.75,14631.95,14633.14,14498.65,14498.88,133.07,0.92,0.93,801830.63
IXIC,20210720,14330.46,14498.88,14555.75,14271.23,14274.98,223.9,1.57,1.99,1033470.0
IXIC,20210719,14235.99,14274.98,14313.6,14178.66,14427.24,-152.26,-1.06,0.94,916443.5
IXIC,20210716,14597.51,14427.24,14623.02,14413.32,14543.13,-115.89,-0.8,1.44,811424.19
IXIC,20210715,14635.78,14543.13,14650.37,14451.8,14644.95,-101.82,-0.7,1.36,832917.69
IXIC,20210714,14780.9,14644.95,14790.55,14632.95,14677.65,-32.7,-0.22,1.07,862698.38
IXIC,20210713,14715.13,14677.65,14803.68,14660.19,14733.24,-55.59,-0.38,0.97,805386.69
IXIC,20210712,14743.86,14733.24,14761.08,14672.63,14701.92,31.32,0.21,0.6,753860.32
IXIC,20210709,14578.43,14701.92,14710.2,14552.26,14559.78,142.14,0.98,1.08,756927.19
IXIC,20210708,14409.2,14559.78,14610.06,14371.59,14665.06,-105.28,-0.72,1.63,920115.82
IXIC,20210707,14753.42,14665.06,14755.33,14580.79,14663.64,1.42,0.01,1.19,889860.82
IXIC,20210706,14661.55,14663.64,14687.0,14529.8,14639.33,24.31,0.17,1.07,909249.13
IXIC,20210702,14582.99,14639.33,14649.11,14555.34,14522.38,116.95,0.81,0.65,724356.32
IXIC,20210701,14493.69,14522.38,14533.55,14439.4,14503.95,18.43,0.13,0.65,843428.63
IXIC,20210630,14509.85,14503.95,14526.81,14478.06,14528.33,-24.38,-0.17,0.34,1081520.0
IXIC,20210629,14509.19,14528.33,14535.97,14471.38,14500.51,27.82,0.19,0.45,908396.82
IXIC,20210628,14417.81,14500.51,14505.19,14417.2,14360.39,140.12,0.98,0.61,898050.19
IXIC,20210625,14400.81,14360.39,14409.08,14337.65,14369.71,-9.32,-0.06,0.5,3124154.0
IXIC,20210624,14357.27,14369.71,14414.46,14333.7,14271.73,97.98,0.69,0.57,807035.0
IXIC,20210623,14263.38,14271.73,14317.66,14246.3,14253.27,18.46,0.13,0.5,852776.82
IXIC,20210622,14138.29,14253.27,14269.77,14121.0,14141.48,111.79,0.79,1.05,891228.57
IXIC,20210621,14047.42,14141.48,14150.78,13960.04,14030.38,111.1,0.79,1.36,969704.88
IXIC,20210618,14096.93,14030.38,14129.22,14009.04,14161.35,-130.97,-0.92,0.85,2135672.0
IXIC,20210617,13999.13,14161.35,14196.21,13998.93,14039.68,121.67,0.87,1.41,990644.5
IXIC,20210616,14085.55,14039.68,14129.69,13903.73,14072.86,-33.18,-0.24,1.61,981269.25
IXIC,20210615,14166.64,14072.86,14171.02,14052.16,14174.14,-101.28,-0.71,0.84,880025.75
IXIC,20210614,14083.47,14174.14,14175.45,14056.67,14069.42,104.72,0.74,0.84,895425.69
IXIC,20210611,14030.85,14069.42,14069.42,14006.59,14020.33,49.09,0.35,0.45,824118.0
IXIC,20210610,13933.88,14020.33,14031.19,13904.4,13911.75,108.58,0.78,0.91,929346.69
IXIC,20210609,13980.23,13911.75,14003.5,13906.45,13924.91,-13.16,-0.09,0.7,1085630.0
IXIC,20210608,13946.33,13924.91,13981.72,13831.98,13881.72,43.19,0.31,1.08,1168923.0
