ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,19940505,590.87,608.36,609.85,585.23,619.58,-28.71,-4.6338,1907679.0,1532605.876
000001.SH,19940504,619.58,615.81,620.94,610.38,605.77,13.81,2.2797,2380003.0,1902268.208
000001.SH,19940503,605.77,593.94,605.77,588.95,592.56,13.21,2.2293,1400761.0,942112.113
000001.SH,19940429,592.56,598.35,610.95,585.77,599.63,-7.07,-1.1791,2604835.0,1740094.9
000001.SH,19940428,599.63,605.98,616.09,593.81,598.5,1.13,0.1888,3579686.0,2676488.615
000001.SH,19940427,598.5,590.99,598.58,583.29,579.72,18.78,3.2395,2916956.0,2595940.975
000001.SH,19940426,579.72,565.47,579.91,565.47,560.8,18.92,3.3738,1423889.0,1188892.222
000001.SH,19940425,560.8,566.63,572.39,555.76,566.07,-5.27,-0.931,1931556.0,1500084.13
000001.SH,19940422,566.07,586.83,599.01,563.79,582.43,-16.36,-2.8089,3213060.0,2671824.331
000001.SH,19940421,582.43,536.34,588.0,536.34,540.24,42.19,7.8095,2191990.0,1677485.961
000001.SH,19940420,540.24,560.79,563.24,536.87,572.73,-32.49,-5.6728,1814450.0,1281112.339
000001.SH,19940419,572.73,597.78,600.66,571.44,604.15,-31.42,-5.2007,1710162.0,1271598.641
000001.SH,19940418,604.15,619.51,619.53,597.73,626.79,-22.64,-3.6121,1587921.0,1238669.794
000001.SH,19940415,626.79,630.57,630.83,592.31,636.08,-9.29,-1.4605,2369345.0,1347446.438
000001.SH,19940414,636.08,651.82,654.57,634.58,656.79,-20.71,-3.1532,1630720.0,929730.203
000001.SH,19940413,656.79,673.6,674.5,654.94,665.61,-8.82,-1.3251,1548426.0,1057717.342
000001.SH,19940412,665.61,655.34,665.81,652.56,659.05,6.56,0.9954,1078185.0,791319.83
000001.SH,19940411,659.05,668.85,670.27,657.1,678.85,-19.8,-2.9167,1173086.0,977913.059
000001.SH,19940408,678.85,678.13,680.57,675.25,677.31,1.54,0.2274,914266.0,801904.603
000001.SH,19940407,677.31,678.11,684.55,674.72,679.74,-2.43,-0.3575,1188220.0,1037017.104
000001.SH,19940406,679.74,682.23,683.48,675.57,682.75,-3.01,-0.4409,1097687.0,1007611.122
000001.SH,19940405,682.75,695.2,698.59,681.02,694.38,-11.63,-1.6749,1503539.0,1445908.574
000001.SH,19940404,694.38,698.19,700.21,692.51,698.84,-4.46,-0.6382,2181421.0,2313539.269
000001.SH,19940401,698.84,704.93,705.41,691.86,704.46,-5.62,-0.7978,1654987.0,1422501.192
000001.SH,19940331,704.46,709.91,713.6,701.46,706.34,-1.88,-0.2662,2496753.0,2067036.558
000001.SH,19940330,706.34,710.35,714.1,703.99,706.91,-0.57,-0.0806,2023568.0,1814448.307
000001.SH,19940329,706.91,706.37,711.48,700.52,702.23,4.68,0.6664,2201980.0,2217041.145
000001.SH,19940328,702.23,702.42,709.19,696.52,719.05,-16.82,-2.3392,1986218.0,1924085.93
000001.SH,19940325,719.05,732.61,737.16,714.59,724.3,-5.25,-0.7248,2314904.0,2703841.378
000001.SH,19940324,724.3,725.2,735.49,719.82,725.21,-0.91,-0.1255,2825216.0,3657028.14
000001.SH,19940323,725.21,739.38,740.38,723.89,739.31,-14.1,-1.9072,1986507.0,1787238.549
000001.SH,19940322,739.31,726.16,739.32,724.38,731.62,7.69,1.0511,1309988.0,1344599.46
000001.SH,19940321,731.62,755.86,757.55,731.05,765.22,-33.6,-4.3909,1679037.0,1783115.798
000001.SH,19940318,765.22,777.05,781.18,753.06,776.04,-10.82,-1.3943,2566185.0,2802938.492
000001.SH,19940317,776.04,805.41,807.52,772.09,793.87,-17.83,-2.246,3455372.0,3467823.166
000001.SH,19940316,793.87,767.66,793.87,766.65,772.76,21.11,2.7318,3699463.0,4245800.955
000001.SH,19940315,772.76,800.76,800.94,766.6,788.42,-15.66,-1.9863,4687746.0,4254813.54
000001.SH,19940314,788.42,774.77,788.42,751.2,717.38,71.04,9.9027,4827181.0,5299553.788
000001.SH,19940311,717.38,700.32,717.95,694.32,698.89,18.49,2.6456,3169069.0,4156408.16
000001.SH,19940310,698.89,717.72,741.44,694.03,716.11,-17.22,-2.4047,2940279.0,3936809.086
000001.SH,19940309,716.11,715.87,722.04,710.0,711.27,4.84,0.6805,2695066.0,3331625.153
000001.SH,19940308,711.27,721.65,728.76,705.65,718.4,-7.13,-0.9925,1712448.0,1932770.196
000001.SH,19940307,718.4,718.35,718.79,714.05,726.3,-7.9,-1.0877,307824.0,331715.046
000001.SH,19940304,726.3,729.14,735.97,724.33,734.45,-8.15,-1.1097,1135285.0,1234562.815
000001.SH,19940303,734.45,739.39,745.71,727.99,742.06,-7.61,-1.0255,1002258.0,1109703.419
000001.SH,19940302,742.06,755.53,760.44,740.63,757.29,-15.23,-2.0111,1291178.0,1430258.699
000001.SH,19940301,757.29,771.52,775.68,756.63,770.98,-13.69,-1.7757,1227367.0,1410783.176
000001.SH,19940228,770.98,785.82,795.2,770.98,787.42,-16.44,-2.0878,2850034.0,3629448.317
000001.SH,19940225,787.42,767.57,787.67,765.45,758.84,28.58,3.7663,2347516.0,2715415.596
000001.SH,19940224,758.84,761.41,761.41,749.63,759.71,-0.87,-0.1145,1472418.0,1571171.088
000001.SH,19940223,759.71,768.52,769.96,757.24,768.17,-8.46,-1.1013,402096.0,386183.509
000001.SH,19940222,768.17,751.68,772.82,749.74,754.41,13.76,1.8239,647103.0,646343.219
000001.SH,19940221,754.41,769.94,769.94,752.62,769.18,-14.77,-1.9202,449855.0,374333.298
